Species,Location,SampleID ,Age,Length (cm),Weight (g),Muscle.d15N (‰),Muscle.d13C (‰),Otolith.core.d15N (‰),Otolith.edge.d15N (‰),Otolith.core.d13C (‰),Otolith.edge.d13C (‰)
Atrobucca.nibe,Pingtung,AN18,4,40.2,576.6,12.2,-17.1,6.2,9.7,NA,NA
Atrobucca.nibe,Pingtung,AN19,4,36.7,469.1,11.9,-17.4,8.9,10.0,NA,NA
Atrobucca.nibe,Pingtung,AN20,4,42.5,799,12.3,-17.1,7.5,9.0,NA,NA
Atrobucca.nibe,Pingtung,AN21,4,38.5,512.7,12.6,-16.9,9.4,10.6,NA,NA
Atrobucca.nibe,Pingtung,AN23,4,33,353,12.5,-16.8,7.4,8.3,-16.1,-16.8
Atrobucca.nibe,Pingtung,AN24,3,32.1,302.5,12.1,-17.4,8.9,9.7,-16.0,-16.0
Atrobucca.nibe,Pingtung,AN25,3,31.3,272.6,12.2,-17.2,8.0,8.3,-17.0,-16.7
Atrobucca.nibe,Pingtung,AN26,4,33.1,316.2,12.2,-17.3,6.2,9.4,-17.3,-17.1
Atrobucca.nibe,Pingtung,AN28,4,29.3,227.7,12.1,-17.2,7.8,9.3,-16.9,-17.1
Atrobucca.nibe,Pingtung,AN33,3,29.1,247.1,13.0,-16.5,8.9,9.3,-18.2,-16.3
Chrysochir.aureus,Penghu,CA7,NA,29.8,466.4,13.5,-15.0,9.6,11.7,-15.6,-14.7
Chrysochir.aureus,Penghu,CA9,3,36.2,525.8,14.1,-15.4,10.8,11.8,-14.9,-15.4
Chrysochir.aureus,Penghu,CA10,4,36.5,554.6,14.2,-15.5,8.5,12.0,-16.1,-14.8
Chrysochir.aureus,Penghu,CA11,4,39.5,785,13.5,-16.3,8.1,10.7,-16.0,-16.5
Nibea.albiflora,Miaoli,NA1,4,30.2,333.4,14.2,-15.2,6.5,11.3,-17.9,-14.8
Nibea.albiflora,Miaoli,NA2,4,31.1,431.4,14.5,-15.2,9.1,11.7,-15.4,-15.6
Nibea.albiflora,Miaoli,NA3,4,31.6,418.6,14.5,-15.0,7.9,11.9,-16.6,-15.6
Nibea.albiflora,Miaoli,NA4,4,31.9,452.6,14.6,-15.2,9.3,11.6,-14.8,-16.1
Pennahia.macrocephalus,Taichung,PM1,3,14.5,119.6,12.9,-16.7,9.8,10.8,NA,NA
Pennahia.macrocephalus,Taichung,PM3,4,17.7,90.2,12.2,-17.1,9.6,11.1,NA,NA
Pennahia.macrocephalus,Taichung,PM7,4,19.6,107.2,12.8,-16.9,8.7,10.0,NA,NA
Pennahia.macrocephalus,Taichung,PM8,NA,16.7,68.2,13.1,-16.9,7.5,10.7,-16.5,-17.0
Pennahia.macrocephalus,Taichung,PM9,4,18.7,91.6,13.1,-16.5,9.1,10.6,-16.5,-15.8
Pennahia.macrocephalus,Taichung,PM10,4,18.9,99.4,12.7,-16.8,8.4,9.9,-16.7,-16.8
Pennahia.macrocephalus,Taichung,PM11,NA,20.6,123.2,12.9,-16.9,10.1,9.6,-17.7,-17.0
Pennahia.macrocephalus,Taichung,PM12,3,19.6,111.9,12.7,-16.8,10.4,10.7,NA,NA
Pennahia.macrocephalus,Taichung,PM16,2,18.2,80.8,12.4,-17.2,8.1,10.3,-17.7,-16.7
Pennahia.macrocephalus,Taichung,PM17,3,19.5,97.6,12.8,-16.7,8.9,10.9,NA,NA
Pennahia.macrocephalus,Taichung,PM18,3,19.7,96.9,12.3,-16.6,10.3,11.0,NA,NA
Pennahia.macrocephalus,Taichung,PM19,3,19.5,96.6,12.8,-16.6,9.0,10.4,-16.6,-16.3
Protonibea.diacanthus,Miaoli,PD1,2,42.5,1430,15.2,-14.4,9.5,13.3,-15.5,-15.2
Protonibea.diacanthus,Miaoli,PD2,2,35.4,777.8,13.5,-15.4,9.1,10.8,-15.6,-16.5
Protonibea.diacanthus,Miaoli,PD3,2,35.9,711.4,13.4,-16.2,9.7,11.4,-17.1,-17.2
